ID,Название,Status,Вердикт,Энтропия_Шеннона,Энтропия_Перестановок,Фрактал_Размерность_GP,Асимметрия_Сдвига,Эксцесс_Хвостов,Автокорреляция_Лаг1,Херст_Хаотичность,Радиус_Облака,Коэф_Сдвига_Аномалий,Доля_Оси_X,Доля_Оси_Y,Доля_Оси_Z,Сила_Закрутки_Ротора,Индекс_Сквозных_Дыр,Коэф_Ветвления,Частота_Фурье
A000177,Number of partitions of n into 6 squares.,Успешно,Сложная динамическая структура,4.1601,2.2537,0.0,0.3303,-0.8893,0.9346,0.8082,7.76,4.47,0.7591,0.1296,0.1113,46.48,0.0355,-0.3778,1.0
A000178,Superfactorials: product of first n factorials.,Успешно,Строгий кристаллический тренд,3.6645,-0.0,0.0,3.3282,9.0769,1.0,0.486,1.2112018990870071e+53,13.0,1.0,0.0,0.0,1.7682376637455454e+88,0.0,1.0,1.0
A000179,"Ménage numbers: a(0) = 1, a(1) = -1, and for n >= 2, a(n) = number of permutations s of [0, ..., n-1] such that s(i) != i and s(i) != i+1 (mod n) for all i.",Успешно,Строгий кристаллический тренд,4.6235,0.2499,0.0,4.7879,20.9637,1.0,0.4937,1.6064675926807292e+23,24.0,0.9999,0.0001,0.0,1.172734421165317e+43,0.0,1.0,1.0
A000180,Expansion of E.g.f. exp(-x)/(1-3x).,Успешно,Строгий кристаллический тренд,4.1699,-0.0,0.0,3.8781,13.0466,1.0,0.49,3.852561779767119e+21,16.67,1.0,0.0,0.0,1.737833440526511e+39,0.0,1.0,1.0
A000181,"a(n) = A058087(n,n-4).",Успешно,Строгий кристаллический тренд,4.3219,-0.0,0.0,4.1169,14.985,1.0,0.4911,2.4448744137589185e+20,18.17,0.9999,0.0001,0.0,2.7726486316959434e+37,0.0,1.0,1.0
A000182,"Tangent (or ""Zag"") numbers: e.g.f. tan(x), also (up to signs) e.g.f. tanh(x).",Успешно,Строгий кристаллический тренд,4.0875,-0.0,0.0,3.75,12.0623,1.0,0.4893,4.640276728421987e+29,15.96,1.0,0.0,0.0,7.348551763154388e+53,0.0,1.0,1.0
A000183,Number of discordant permutations of length n.,Успешно,Строгий кристаллический тренд,4.3168,-0.0,0.0,4.4639,17.9675,1.0,0.4926,1.013146310813029e+20,21.05,0.9999,0.0001,0.0,5.2492423157386656e+36,0.0,1.0,1.0
A000184,Number of genus 0 rooted maps with 3 faces with n vertices.,Успешно,Строгий кристаллический тренд,4.9069,-0.0,0.0,4.8021,22.0256,1.0,0.5438,9.807649245440225e+18,22.13,0.9999,0.0001,0.0,6.328930552500867e+34,0.0,1.0,1.0
A000185,"a(n) = A058087(n,n-5).",Успешно,Строгий кристаллический тренд,4.2479,-0.0,0.0,3.9947,13.992,1.0,0.4905,9.825419956267404e+19,17.22,0.9999,0.0001,0.0,4.226588729877098e+36,0.0,1.0,1.0
A000186,Number of 3 X n Latin rectangles in which the first row is in order.,Успешно,Строгий кристаллический тренд,4.1427,0.3228,0.0,4.0069,14.0552,1.0,0.4908,2.1304527868729496e+29,17.94,1.0,0.0,0.0,2.639138243042397e+53,0.0,1.0,1.0
